J,S,A,M,R
Black Lotus,Ancestral Recall,Time Walk ,Mox Ruby,Sol Ring
Entomb,Mox Jet,Mox Sapphire,STRIP MINE,Time Vault
Demonic Tutor,"Jace, the Mind Sculptor",Mox Emerald,Crucible of Worlds,Tinker
Vampiric Tutor,Mox Pearl,Snapcaster Mage,Fastbond,Force of Will
Dark Confidant,Imperial Seal,Brainstorm,Show and Tell,Mana Vault
Library of ALexandria,Tolarian Academy,Mana Drain,"Emrakul, the Aeons Torn",Mana Crypt
Duress,Spell Pierce,Thoughtseize,Channel,Mishra's Workshop
Mind Twist,Sensei's Divining Top,Yawgmoth's Will,Oath of Druids,Basalt Monolith
Liliana of the Veil,Counterspell,Mystical Tutor,Griselbrand,Painter's Servant
Reanimate,True-Name Nemesis,Mental Misstep,Wurmcoil Engine,Grindstone
Bitterblossom,Stoneforge Mystic,Spell Snare,Karn Liberated,Dark Depths
Hymn to Tourach,Umezawa's Jitte,Mana Leak,Sneak Attack,Blightsteel Colossus
Inquisition of Kozilek,Underground Sea,Vendilion Clique,ANCIENT TOMB,Grim Monolith
Bazaar of Bahgdad,Flooded Strand,Polluted Delta,Garruk Wildspeaker,Power Artifact
"Urborg, Tomb of Yawgmoth",Swords to Plowshares,Tropical Island,BAYOU,Muddle the Mixture
Necropotence,Tundra,Cryptic Command,Omniscience,Vampire Hexmage
Putrid Imp,"Venser, Shaper Savant","Thada Adel, Acquisitor",FORBIDDEN ORCHARD,Thespian's Stage
Maze of Ith,Preordain,Force Spike,Timetwister,Ponder
Exhume,Council's Judgment,Frantic Search,Fury of the Horde,Mox Diamond
Animate Dead,Helm of Obedience,Delver of Secrets,Through the Breach,Gifts Ungiven
Buried Alive,Rest in Peace,Volcanic Island,Simian Spirit Guide,Dispel
Necromancy,Steel Sabotage,Scalding Tarn,"BOSEIJU, WHO SHELTERS ALL",Phyrexian Metamorph
Dance of the Dead,Hurkyl's Recall,Red Elemental Blast,CASCADE BLUFFS,Daze
Counterbalance,Remand,Lightning Bolt,FIRE-LIT THICKET,Voltaic Key
Toxic Deluge,Enlightened Tutor,Deathrite Shaman,Primeval Titan,Intuition
Dark Ritual,Flusterstorm,Yung Pyromancer,"Kozilek, Butcher of Truth",Chrome Mox
Living Death,Wasteland,Pyroblast,Personal Tutor,Lodestone Golem
Grave Titan,Merchant's Scroll,Wheel of Fortune,Progenitus,Trinisphere
Night's Whisper,Tezzeret the Seeker,Phyrexian Revoker,Null Rod,Tangle Wire
Beesech the Queen,Path to Exile,Pestermite,Life from the Loam,Smokestack
Ashen Rider,Fact or Fiction,Splinter Twin,Windfall,Reshape
Diabolic Edict,Misdirection,Badlands,Gitaxian Probe,Transmute Artifact
Woodfall Primus,Misty Rainforest,Bloodstained Mire,MANA CONFLUENCE,Wake Thrasher
"Iona, Shield of Emeria",Marsh Flats,Deceiver exarch,WOODED FOOTHILLS,Steel Hellkite
It that Betrays,Scrubland,Syncopate,CITY OF BRASS,Expedition Map
Geth's Verdict,Repeal,Condescend,BREEDING POOL,Academy Ruins
Engineered Plague,Supreme Verdict,Blood crypt,STOMPING GROUNDS,Drift of Phantasms
Sword of Light and Shadow,Blue Elemental Blast,"Kiki-Jiki, Mirror Breaker",LOTUS PETAL,Tolaria West
Life/Death,Damping Matrix,Impulse, STEAM VENTS ,Disenchant
Last Rites,Entreat the Angels,Mind Games,Ground Seal,Aphetto Alchemist
Platinum Angel,Terminus,Vapor Snag,Dack Fayden,Thorn of Amethyst
Damnation,Tidespout Tyrant,Visions of Beyond,Manamorphose,Sphere of Resistance
skip,Arid Mesa,Temporal Mastery,Rishadan Port,Argivian Restoration
skip,Mox Opal,Illusory Angel,Nature's Claim,Celestial Purge
skip,Watery Grave,Leyline of Anticipation,skip,Light of Day