J,R,M,E,S
Black Lotus,Ancestral Recall,Mox Ruby,Time Walk,Mox Sapphire
Mox Emerald,Mox Jet,Wheel of Fortune,Time Vault,Mox Pearl
Sol Ring,Mana Crypt,Strip Mine,Voltaic Key,Mana Vault
Mana Drain,"Jace, the Mind Sculptor",Skullclamp,Tinker,Library of Alexandria
Demonic Tutor,Force of Will,Blood Moon,Snapcaster Mage,True Name Nemesis
Griselbrand,Liliana of the Veil,Kiki Jiki Mirror Breaker,Isochron Scepter,Counterspell
Timetwister,Vampiric Tutor,Chaos Warp,Mishra's Workshop,Dark Depths
Underground Sea,Mind Twist,Lightning Bolt,Enlightened Tutor,Thespian Stage
Mystical Tutor,Thoughtseize,Umenzawa's Jitte,Tolarian Academy,Stoneforge Mystic
Imperial Seal,Dark Confidant,Wasteland,Sensei's Divining Top,Sword of Body and Mind
Yawgmoth's Will,Daze,Zealous Conscripts,Dack Fayden,Swords to Plowshares
Dark Ritual,Brainstorm,Reforge the Soul,Path to Exile,Spell Pierce
Tendrils of Agony,Ponder,Guttural Response,Basalt Monolith,Tundra
Grim Monolith,Duress,Lotus Petal,Metalworker,Vendilion Clique
Time Spiral,Inquisition of Kozilek,Magus of the Moon,Ancient Tomb,Balance
Cabal Ritual,Dig Through Time,Null Rod,Volcanic Island,Treasure Cruise
Watery Grave,Polluted Delta,Price of Glory,Hallowed Fountain,Fragmentize
Scalding Tarn,Toxic Deluge,Goblin Piledriver,Steam Vents,"Jace, Vryn's Prodigy"
Upheaval,Sylvan Library,Goblin Guide,Flooded Strand,Misty Rainforest
Bloodstained Mire,Bayou,Goblin Rabblemaster,Karn Liberated,Marsh Flats
Mind's Desire,Tropical Island,Vexing Shusher,Tezzeret the Seeker,Verdant Catacombs
Preordain,Windswept Heath,Glorybringer,Ral Zarek,Godless Shrine
Lion's Eye Diamond,Deathrite Shaman,Siege Gang Commander,Power Artifact,Batterskull
Dark Petition,Grave Titan,Goblin Chieftain,Phyrexian Metamorph,"Urbrorg, Tomb of Yawgmoth"
Memory Jar,Dismember,Entomb,Blightsteel Colossus,Fatal Push
Chrome Mox,Wooded Foothills,Goblin King,Cryptic Command,Karakas
Yawgmoth's Bargain,Flusterstorm,Goblin Lackey,Goblin Welder,Show and Tell
Grim Tutor,Hymn to Tourach,Goblin Warchief,"Daretti, Scrap Savant","Elesh Norn, Grand Cenobite"
Gush,Gitaxian Probe,Goblin Recruiter,Orim's Chant,Mana Leak
Darkslick shores,Mental Misstep,Beetleback Chief,Silence,Remand
Impulse,Spell Snare,Brightstone Ritual,Pact of Negation,Spell Queller
Mox Diamond,Breeding Pool,Goblin Ringleader,Seat of the Synod,Omniscience
Gilded Lotus,Baleful Strix,Ib Halfheart,Rings of the Brighthearth,Arid Mesa
Frantic Search,Overgrown Tomb,Chain Lightning,Academy Ruins,"Emrakul, The Aeons Torn"
Chain of Vapor,Serum Visions,Hellrider,Lodestone Golem,Ancestral Vision
Sunken Hollow,Abrupt Decay,Warren Instigator,Mindslaver,Force Spike
Sunken Ruins,Tasigur the Golden Fang,Dead // Gone,Trinket Mage,Rest in Piece
Leovold,Diabolic Edict,Flame Slash,Stony Silence,Energy Field
Fastbond,Nature's Claim,Gamble,Transmute Artifact,Treachery
Taiga,Maelstrom Pulse,Ingot Chewer,Sundering Titan,Bribery
Botanical Sanctum,Censor,Ruination,Ugin the Spirit Dragon,Disenchant
Blooming Marsh,Scavenging Ooze,Splinter Twin,Negate,Supreme Verdict
Ceremonious Rejection,Birds of Paradise,Torpor Orb,Winter Orb,Mystic Gate
Dream Halls,Obstinate Baloth,Gauntlet of Might,Trinisphere,Expedition Map
Fact or Fiction,Trygon Predator,Thundermaw Hellkite,Saheeli Rai,Vampire Hexmage